Virus_detected;Sample_name;Sample_ID;Reads_nb_mapped;deduplication;Total_Reads_Nr;standardize_reads_nb_mapped;mapping_ratio;standardize_mapping_ratio;Standart classification (3 votes) (case 1);Total classification (2 votes) (case 1);Comment (case 1);Classification (case 1);Standart classification (3 votes) (case 2);Total classification (2 votes) (case 2);Comment (case 2);Classification (case 2);Comparison both case
BanMMV;ITC1565;3B6;7;0;7043406;4.9691867826446465;0.0021558361564521095;0.0030133222108831657;-;infection;R1:infection, R2:contamination, R3:infection;infection;-;contamination;R1:contamination, R2:contamination, R3:infection;contamination;unconfirmed
BanMMV;ITC1859;3B9;1840;0;8867318;1037.5177703111583;0.566676932553126;0.629152309666393;infection;-;R1:infection, R2:infection, R3:infection;infection;-;infection;R1:contamination, R2:infection, R3:infection;infection;infection
BanMMV;ITC1859 (OLD KIT);3B10;950;0;10560962;449.7696327285336;0.29257776408992914;0.27274097017547627;infection;-;R1:infection, R2:infection, R3:infection;infection;-;infection;R1:contamination, R2:infection, R3:infection;infection;infection
BanMMV;ITC1861;3B11;1903;0;8953048;1062.7665572663075;0.586079457961195;0.6444632114009654;infection;-;R1:infection, R2:infection, R3:infection;infection;-;infection;R1:contamination, R2:infection, R3:infection;infection;infection
BanMMV;ITC1863;3B12;816;0;9672622;421.8091020201141;0.2513089005235602;0.2557856630201834;infection;-;R1:infection, R2:infection, R3:infection;infection;-;infection;R1:contamination, R2:infection, R3:infection;infection;infection
BanMMV;ITC1867;3B13;1167;0;9624386;606.2724416913453;0.35940868493994454;0.367644504886695;infection;-;R1:infection, R2:infection, R3:infection;infection;-;infection;R1:contamination, R2:infection, R3:infection;infection;infection
BanMMV;ITC1867 (OLD KIT);3B14;558;0;11309014;246.70585782279517;0.17185093932861104;0.1496027968859658;infection;-;R1:infection, R2:infection, R3:infection;infection;-;infection;R1:contamination, R2:infection, R3:infection;infection;infection
BanMMV;Sample J;3B19;3247;RF;9844928;1649.0724970258798;1.0;1.0;infection;-;R1:infection, R2:infection, R3:infection;infection;infection;-;R1:infection, R2:infection, R3:infection;infection;infection
BanMMV;Sample EM4;3B20;903;0.11;11719374;385.2594857029053;0.27810286418232216;0.23362192165458157;infection;-;R1:infection, R2:infection, R3:infection;infection;-;infection;R1:contamination, R2:infection, R3:infection;infection;infection
BanMMV;Positive Control ;3B1;807;0;9058188;445.4533290764113;0.24853711117955035;0.2701235572600909;infection;-;R1:infection, R2:infection, R3:infection;infection;-;infection;R1:contamination, R2:infection, R3:infection;infection;infection
BanMMV;Positive Control (OLD KIT);3B2;512;0;11857342;215.89998837850843;0.15768401601478288;0.130922072115014;infection;-;R1:infection, R2:infection, R3:infection;infection;-;infection;R1:contamination, R2:infection, R3:infection;infection;infection
BBrMV;ITC1565;3B6;2;ND;7043406;1.4197676521841847;6.928206460552525e-06;9.683907724937969e-06;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
BBrMV;ITC1859;3B9;4;ND;8867318;2.2554734137199093;1.385641292110505e-05;1.538406399167695e-05;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
BBrMV;ITC1867;3B13;5;20;9624386;2.597568302019474;1.732051615138131e-05;1.771741432993088e-05;-;contamination;R1:contamination, R2:contamination, R3:infection;contamination;-;contamination;R1:contamination, R2:contamination, R3:infection;contamination;contamination
BBrMV;ITC1867 (OLD KIT);3B14;1;ND;11309014;0.4421251932308157;3.4641032302762624e-06;3.0156339789337274e-06;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
BBrMV;Sample 2;3B15;4;ND;10009300;1.9981417281927807;1.385641292110505e-05;1.3628863911217458e-05;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
BBrMV;Sample 3;3B16;5;60;7572832;3.3012748731254042;1.732051615138131e-05;2.25172345607543e-05;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
BBrMV;Sample 4;3B17;3;ND;9185130;1.633074327744953;1.0392309690828786e-05;1.113882336558238e-05;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
BBrMV;Sample 5;3B18;1;ND;9786650;0.5109000526227054;3.4641032302762624e-06;3.4847314338039294e-06;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
BBrMV;Sample J;3B19;288675;RF;9844928;146611.02651030052;1.0;1.0;infection;-;R1:infection, R2:infection, R3:infection;infection;infection;-;R1:infection, R2:infection, R3:infection;infection;infection
BBrMV;Sample EM4;3B20;114;80.7;11719374;48.63741015518406;0.0003949077682514939;0.0003317445577789943;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
BBrMV;BBrMV2 No.208;3B21;3099;9.81;10957512;1414.098382917582;0.010735255910626136;0.009645238946732504;infection;-;R1:infection, R2:infection, R3:infection;infection;-;infection;R1:contamination, R2:infection, R3:infection;infection;infection
BBrMV;BBrMV3 No.58;3B22;1519;10.01;10510534;722.6083850734891;0.005261972806789642;0.004928745144709293;infection;-;R1:infection, R2:infection, R3:infection;infection;-;infection;R1:contamination, R2:infection, R3:infection;infection;infection
BBrMV;BBrMV4 No.15;3B23;4715;8.42;8925132;2641.417516289955;0.016333246730752576;0.018016499707846842;infection;-;R1:infection, R2:infection, R3:infection;infection;-;infection;R1:contamination, R2:infection, R3:infection;infection;infection
BBrMV;BSOLV1 No.10;3B24;1;ND;9008568;0.5550271696900106;3.4641032302762624e-06;3.785712322606348e-06;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
BBrMV;BBTV No.9.58.2;3B25;8;62.5;9626270;4.155295872648492;2.77128258422101e-05;2.8342314841895956e-05;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
BBrMV;Wheat Control;3W1;1;ND;9129442;0.5476785985386621;3.4641032302762624e-06;3.7355894135301176e-06;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
BBrMV;Positive Control ;3B1;16787;0.05;9058188;9266.20202627722;0.05815190092664761;0.06320262702496118;infection;-;R1:infection, R2:infection, R3:infection;infection;-;infection;R1:contamination, R2:infection, R3:infection;infection;infection
BBrMV;Positive Control (OLD KIT);3B2;7205;0.07;11857342;3038.201984896784;0.02495886377414047;0.020722875060719445;infection;-;R1:infection, R2:infection, R3:infection;infection;-;infection;R1:contamination, R2:infection, R3:infection;infection;infection
BBTV;BBTV No.9.58.2;3B25;715;RF;9626270;371.37956861795897;1.0;1.0;infection;-;R1:infection, R2:infection, R3:infection;infection;infection;-;R1:infection, R2:infection, R3:infection;infection;infection
BBTV;Positive Control ;3B1;66;13.64;9058188;36.43112728505966;0.09230769230769231;0.09809674619590245;-;infection;R1:infection, R2:contamination, R3:infection;infection;-;contamination;R1:contamination, R2:contamination, R3:infection;contamination;unconfirmed
BBTV;Positive Control (OLD KIT);3B2;52;13.46;11857342;21.927342569692264;0.07272727272727272;0.05904294264569274;-;infection;R1:infection, R2:contamination, R3:infection;infection;-;contamination;R1:contamination, R2:contamination, R3:infection;contamination;unconfirmed
CMV;ITC0146;3B3;2;ND;12309622;0.812372630126254;6.121449559255632e-05;4.5045445701139034e-05;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
CMV;ITC1498;3B5;845;1.06;7099966;595.0732721818667;0.025863124387855044;0.032996361246318065;infection;-;R1:infection, R2:infection, R3:infection;infection;-;infection;R1:contamination, R2:infection, R3:infection;infection;infection
CMV;ITC1565;3B6;686;1.17;7043406;486.98030469917535;0.020996571988246816;0.027002688248423196;infection;-;R1:infection, R2:infection, R3:infection;infection;-;infection;R1:contamination, R2:infection, R3:infection;infection;infection
CMV;ITC1607;3B7;2;ND;7963780;1.2556851143552434;6.121449559255632e-05;6.96267864509751e-05;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
CMV;ITC1847;3B8;1;ND;8587532;0.5822394606506269;3.060724779627816e-05;3.228473613854053e-05;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
CMV;ITC1863;3B12;1;ND;9672622;0.5169229191422967;3.060724779627816e-05;2.866298349106098e-05;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
CMV;ITC1867;3B13;1;ND;9624386;0.5195136604038949;3.060724779627816e-05;2.88066381274892e-05;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
CMV;ITC1867 (OLD KIT);3B14;1;ND;11309014;0.4421251932308157;3.060724779627816e-05;2.4515506365212146e-05;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
CMV;Sample 2;3B15;2;ND;10009300;0.9990708640963903;6.121449559255632e-05;5.539772105966916e-05;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
CMV;Sample 3;3B16;3;ND;7572832;1.9807649238752425;9.182174338883447e-05;0.00010983191150996348;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
CMV;Sample 5;3B18;1;ND;9786650;0.5109000526227054;3.060724779627816e-05;2.8329020114265172e-05;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination;-;R1:contamination, R2:contamination, R3:contamination;contamination;contamination
